[2024-07-05 21:16:38.796922]; Lat: -33.458243; Long: -70.662048; Alt: 552.213;
[2024-07-05 21:16:39.809201]; Lat: -33.458243; Long: -70.662048; Alt: 552.213;
[2024-07-05 21:16:40.812252]; Lat: -33.458243; Long: -70.662048; Alt: 552.213;
[2024-07-05 21:16:41.818472]; Lat: -33.458243; Long: -70.662048; Alt: 552.212;
[2024-07-05 21:16:42.824191]; Lat: -33.458243; Long: -70.662048; Alt: 552.212;
[2024-07-05 21:16:43.827137]; Lat: -33.458243; Long: -70.662048; Alt: 552.212;
[2024-07-05 21:16:44.833173]; Lat: -33.458243; Long: -70.662048; Alt: 552.212;
[2024-07-05 21:16:45.838714]; Lat: -33.458243; Long: -70.662048; Alt: 552.212;
[2024-07-05 21:16:46.841716]; Lat: -33.458243; Long: -70.662048; Alt: 552.212;
[2024-07-05 21:16:47.847792]; Lat: -33.458243; Long: -70.662046; Alt: 552.208;
[2024-07-05 21:16:48.852711]; Lat: -33.458243; Long: -70.662046; Alt: 552.208;
[2024-07-05 21:16:49.856477]; Lat: -33.458243; Long: -70.662046; Alt: 552.208;
[2024-07-05 21:16:50.862489]; Lat: -33.458243; Long: -70.662046; Alt: 552.229;
[2024-07-05 21:16:51.868051]; Lat: -33.458243; Long: -70.662046; Alt: 552.229;
[2024-07-05 21:16:52.870914]; Lat: -33.458243; Long: -70.662046; Alt: 552.229;
[2024-07-05 21:16:53.876917]; Lat: -33.458243; Long: -70.662046; Alt: 552.236;
[2024-07-05 21:16:54.882513]; Lat: -33.458243; Long: -70.662046; Alt: 552.236;
[2024-07-05 21:16:55.885490]; Lat: -33.458243; Long: -70.662046; Alt: 552.236;
[2024-07-05 21:16:56.891408]; Lat: -33.458243; Long: -70.662046; Alt: 552.242;
[2024-07-05 21:16:57.896914]; Lat: -33.458243; Long: -70.662046; Alt: 552.242;
[2024-07-05 21:16:58.899764]; Lat: -33.458243; Long: -70.662046; Alt: 552.242;
[2024-07-05 21:16:59.906828]; Lat: -33.458243; Long: -70.662046; Alt: 552.233;
[2024-07-05 21:17:00.912463]; Lat: -33.458243; Long: -70.662046; Alt: 552.233;
[2024-07-05 21:17:01.915546]; Lat: -33.458243; Long: -70.662046; Alt: 552.233;
[2024-07-05 21:17:02.921776]; Lat: -33.458243; Long: -70.662046; Alt: 552.299;
[2024-07-05 21:17:03.927447]; Lat: -33.458243; Long: -70.662046; Alt: 552.299;
[2024-07-05 21:17:04.930421]; Lat: -33.458243; Long: -70.662046; Alt: 552.299;
[2024-07-05 21:17:05.936477]; Lat: -33.458245; Long: -70.662046; Alt: 552.379;
[2024-07-05 21:17:06.944006]; Lat: -33.458245; Long: -70.662046; Alt: 552.379;
[2024-07-05 21:17:07.947045]; Lat: -33.458245; Long: -70.662046; Alt: 552.379;
[2024-07-05 21:17:08.953035]; Lat: -33.458243; Long: -70.662048; Alt: 552.442;
[2024-07-05 21:17:09.959752]; Lat: -33.458243; Long: -70.662048; Alt: 552.442;
[2024-07-05 21:17:10.962766]; Lat: -33.458243; Long: -70.662048; Alt: 552.442;
[2024-07-05 21:17:11.968964]; Lat: -33.458243; Long: -70.66205; Alt: 552.527;
[2024-07-05 21:17:12.975284]; Lat: -33.458243; Long: -70.66205; Alt: 552.527;
[2024-07-05 21:17:13.978312]; Lat: -33.458243; Long: -70.66205; Alt: 552.527;
[2024-07-05 21:17:14.984324]; Lat: -33.458245; Long: -70.66205; Alt: 552.479;
[2024-07-05 21:17:15.989913]; Lat: -33.458245; Long: -70.66205; Alt: 552.479;
[2024-07-05 21:17:16.992932]; Lat: -33.458245; Long: -70.66205; Alt: 552.479;
[2024-07-05 21:17:17.999020]; Lat: -33.458245; Long: -70.662048; Alt: 552.305;
[2024-07-05 21:17:19.004826]; Lat: -33.458245; Long: -70.662048; Alt: 552.305;
[2024-07-05 21:17:20.008958]; Lat: -33.458245; Long: -70.662048; Alt: 552.305;
[2024-07-05 21:17:21.015017]; Lat: -33.458245; Long: -70.662048; Alt: 552.284;
[2024-07-05 21:17:22.020733]; Lat: -33.458245; Long: -70.662048; Alt: 552.284;
[2024-07-05 21:17:23.024858]; Lat: -33.458245; Long: -70.662048; Alt: 552.284;
[2024-07-05 21:17:24.031195]; Lat: -33.458246; Long: -70.662048; Alt: 552.285;
[2024-07-05 21:17:25.036948]; Lat: -33.458246; Long: -70.662048; Alt: 552.285;
[2024-07-05 21:17:26.039919]; Lat: -33.458246; Long: -70.662048; Alt: 552.285;
[2024-07-05 21:17:27.045938]; Lat: -33.458246; Long: -70.66205; Alt: 552.299;
[2024-07-05 21:17:28.051539]; Lat: -33.458246; Long: -70.66205; Alt: 552.299;
[2024-07-05 21:17:29.054523]; Lat: -33.458246; Long: -70.66205; Alt: 552.299;
[2024-07-05 21:17:30.062188]; Lat: -33.458246; Long: -70.66205; Alt: 552.326;
[2024-07-05 21:17:31.068095]; Lat: -33.458246; Long: -70.66205; Alt: 552.326;
[2024-07-05 21:17:32.071076]; Lat: -33.458246; Long: -70.66205; Alt: 552.326;
[2024-07-05 21:17:33.076231]; Lat: -33.458246; Long: -70.66205; Alt: 552.331;
[2024-07-05 21:17:34.081805]; Lat: -33.458246; Long: -70.66205; Alt: 552.331;
[2024-07-05 21:17:35.084837]; Lat: -33.458246; Long: -70.66205; Alt: 552.331;
[2024-07-05 21:17:36.090921]; Lat: -33.458246; Long: -70.66205; Alt: 552.351;
[2024-07-05 21:17:37.096713]; Lat: -33.458246; Long: -70.66205; Alt: 552.351;
[2024-07-05 21:17:38.099716]; Lat: -33.458246; Long: -70.66205; Alt: 552.351;
[2024-07-05 21:17:39.105837]; Lat: -33.458246; Long: -70.66205; Alt: 552.357;
[2024-07-05 21:17:40.111860]; Lat: -33.458246; Long: -70.66205; Alt: 552.357;
