[2024-07-08 19:22:02.220829]Acceleration: X:7.06, Y: 1.96, Z: 6.75 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:10.35, Y: -13.95, Z: -21.75 uT

[2024-07-08 19:22:04.762263]Acceleration: X:7.05, Y: 1.93, Z: 6.72 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.85, Y: -11.10, Z: -21.30 uT

[2024-07-08 19:22:05.792215]Acceleration: X:7.04, Y: 1.87, Z: 6.78 m/s^2
Gyro X:0.01, Y: 0.01, Z: 0.00 rads/s
Magnetometer X:7.35, Y: -12.00, Z: -21.75 uT

[2024-07-08 19:22:06.821897]Acceleration: X:6.99, Y: 1.89, Z: 6.76 m/s^2
Gyro X:-0.01, Y: 0.03, Z: 0.00 rads/s
Magnetometer X:8.85, Y: -12.30, Z: -22.05 uT

[2024-07-08 19:22:07.851458]Acceleration: X:6.95, Y: 1.85, Z: 6.72 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:6.90, Y: -11.55, Z: -22.50 uT

[2024-07-08 19:22:08.880964]Acceleration: X:7.01, Y: 1.90, Z: 6.72 m/s^2
Gyro X:-0.00, Y: 0.03, Z: 0.00 rads/s
Magnetometer X:7.65, Y: -12.75, Z: -22.50 uT

[2024-07-08 19:22:11.423148]Acceleration: X:7.11, Y: 1.90, Z: 6.70 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.10, Y: -13.05, Z: -22.05 uT

[2024-07-08 19:22:12.453744]Acceleration: X:7.08, Y: 1.89, Z: 6.81 m/s^2
Gyro X:-0.00, Y: 0.03, Z: 0.01 rads/s
Magnetometer X:7.35, Y: -12.00, Z: -21.30 uT

[2024-07-08 19:22:13.484080]Acceleration: X:7.04, Y: 1.94, Z: 6.75 m/s^2
Gyro X:-0.01, Y: 0.03, Z: 0.01 rads/s
Magnetometer X:6.90, Y: -12.00, Z: -21.75 uT

[2024-07-08 19:22:14.514826]Acceleration: X:7.06, Y: 1.95, Z: 6.76 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.40, Y: -12.30, Z: -22.05 uT

[2024-07-08 19:22:15.545413]Acceleration: X:7.07, Y: 1.93, Z: 6.82 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.00, Y: -12.60, Z: -22.35 uT

[2024-07-08 19:22:18.087709]Acceleration: X:6.95, Y: 1.90, Z: 6.86 m/s^2
Gyro X:-0.02, Y: 0.03, Z: 0.00 rads/s
Magnetometer X:8.55, Y: -11.70, Z: -23.10 uT

[2024-07-08 19:22:19.117374]Acceleration: X:6.88, Y: 2.05, Z: 6.64 m/s^2
Gyro X:-0.01, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:7.50, Y: -12.15, Z: -21.60 uT

[2024-07-08 19:22:20.146965]Acceleration: X:7.02, Y: 1.87, Z: 6.75 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.40, Y: -12.00, Z: -24.30 uT

[2024-07-08 19:22:21.177341]Acceleration: X:7.05, Y: 1.89, Z: 6.78 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:7.80, Y: -13.35, Z: -23.10 uT

[2024-07-08 19:22:22.207193]Acceleration: X:6.93, Y: 1.92, Z: 6.79 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:7.05, Y: -13.65, Z: -22.35 uT

[2024-07-08 19:22:24.742339]Acceleration: X:7.06, Y: 1.88, Z: 6.81 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:6.15, Y: -12.00, Z: -21.75 uT

[2024-07-08 19:22:25.772112]Acceleration: X:7.00, Y: 1.84, Z: 6.80 m/s^2
Gyro X:-0.01, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:7.50, Y: -12.90, Z: -23.10 uT

[2024-07-08 19:22:26.801866]Acceleration: X:7.02, Y: 1.87, Z: 6.79 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:7.50, Y: -12.60, Z: -22.35 uT

[2024-07-08 19:22:27.832300]Acceleration: X:7.05, Y: 1.87, Z: 6.80 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:7.50, Y: -12.15, Z: -23.10 uT

[2024-07-08 19:22:28.862601]Acceleration: X:7.04, Y: 1.89, Z: 6.76 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:6.60, Y: -12.75, Z: -22.80 uT

[2024-07-08 19:22:31.402405]Acceleration: X:6.99, Y: 1.90, Z: 6.75 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:7.65, Y: -13.50, Z: -24.75 uT

[2024-07-08 19:22:32.432622]Acceleration: X:7.00, Y: 1.94, Z: 6.75 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:8.10, Y: -11.55, Z: -22.50 uT

[2024-07-08 19:22:33.463009]Acceleration: X:7.08, Y: 1.93, Z: 6.80 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:7.35, Y: -13.50, Z: -24.30 uT

