Temperature,Pressure,Humidity,Altitude
21.96,955.64,30.98,489.03
21.94,955.60,30.96,489.31
21.91,955.64,30.95,488.99
21.89,955.61,30.96,489.27
21.88,955.63,30.94,489.07
21.87,955.63,30.95,489.09
21.83,955.61,30.96,489.31
21.84,955.60,30.99,489.37
21.86,955.64,31.00,489.01
21.89,955.60,30.98,489.36
21.87,955.64,30.99,489.00
21.87,955.66,30.99,488.87
21.87,955.62,30.99,489.21
21.88,955.65,30.98,488.96
21.90,955.67,30.97,488.73
21.89,955.61,30.97,489.23
21.88,955.60,30.98,489.38
21.87,955.63,30.98,489.06
21.84,955.65,31.00,488.96
21.81,955.61,31.01,489.31
21.79,955.61,31.03,489.24
21.78,955.61,31.04,489.31
21.77,955.63,31.03,489.06
21.76,955.65,31.06,488.92
21.77,955.68,31.05,488.70
21.74,955.66,31.02,488.87
21.73,955.65,31.05,488.93
21.71,955.62,31.09,489.21
21.71,955.66,31.09,488.80
21.69,955.61,31.10,489.27
21.67,955.60,31.09,489.37
21.66,955.59,31.12,489.40
21.65,955.62,31.12,489.16
21.64,955.61,31.15,489.25
21.63,955.55,31.18,489.83
21.62,955.60,31.19,489.38
21.62,955.63,31.21,489.13
21.62,955.62,31.22,489.19
21.61,955.66,31.22,488.86
21.60,955.61,31.24,489.27
21.58,955.65,31.35,488.89
21.57,955.60,31.29,489.39
21.56,955.64,31.32,489.00
21.54,955.60,31.36,489.38
21.52,955.63,31.38,489.12
21.52,955.65,31.41,488.96
21.51,955.69,31.44,488.59
21.51,955.61,31.44,489.23
21.50,955.65,31.46,488.93
21.52,955.65,31.47,488.91
21.52,955.67,31.45,488.73
21.53,955.59,31.45,489.46
21.52,955.69,31.50,488.56
21.52,955.65,31.50,488.89
21.52,955.62,31.51,489.21
21.51,955.66,31.50,488.85
21.50,955.65,31.52,488.93
